timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu, power.draw [W]
2026/04/03 12:13:12.624, 0 %, 0 %, 193 MiB, 69, 79.12 W
2026/04/03 12:13:17.630, 0 %, 0 %, 193 MiB, 70, 79.57 W
2026/04/03 12:13:22.631, 13 %, 2 %, 4463 MiB, 70, 83.98 W
2026/04/03 12:13:27.632, 74 %, 83 %, 12029 MiB, 75, 149.57 W
2026/04/03 12:13:32.632, 100 %, 100 %, 12029 MiB, 78, 199.46 W
2026/04/03 12:13:37.633, 100 %, 100 %, 12029 MiB, 80, 199.44 W
2026/04/03 12:13:42.634, 100 %, 100 %, 12029 MiB, 82, 199.55 W
2026/04/03 12:13:47.634, 16 %, 2 %, 12029 MiB, 80, 122.69 W
2026/04/03 12:13:52.635, 100 %, 100 %, 12983 MiB, 83, 199.56 W
2026/04/03 12:13:57.635, 100 %, 100 %, 12983 MiB, 84, 196.77 W
2026/04/03 12:14:02.636, 100 %, 100 %, 12983 MiB, 85, 187.83 W
2026/04/03 12:14:07.637, 100 %, 100 %, 12983 MiB, 85, 183.47 W
2026/04/03 12:14:12.637, 16 %, 2 %, 12983 MiB, 84, 132.08 W
2026/04/03 12:14:17.638, 100 %, 100 %, 12983 MiB, 86, 196.71 W
2026/04/03 12:14:22.638, 100 %, 100 %, 12983 MiB, 86, 190.30 W
2026/04/03 12:14:27.639, 100 %, 100 %, 12983 MiB, 86, 181.38 W
2026/04/03 12:14:32.640, 100 %, 100 %, 12983 MiB, 86, 174.19 W
2026/04/03 12:14:37.640, 12 %, 2 %, 12983 MiB, 85, 116.39 W
2026/04/03 12:14:42.641, 100 %, 100 %, 12983 MiB, 86, 186.83 W
2026/04/03 12:14:47.641, 100 %, 100 %, 12983 MiB, 86, 180.18 W
2026/04/03 12:14:52.642, 100 %, 100 %, 12983 MiB, 86, 175.68 W
2026/04/03 12:14:57.642, 100 %, 100 %, 12983 MiB, 86, 172.22 W
2026/04/03 12:15:02.643, 17 %, 2 %, 12983 MiB, 84, 120.48 W
2026/04/03 12:15:07.644, 100 %, 100 %, 12983 MiB, 86, 188.60 W
2026/04/03 12:15:13.004, 100 %, 100 %, 12983 MiB, 86, 180.66 W
2026/04/03 12:15:18.279, 100 %, 100 %, 12983 MiB, 86, 175.91 W
2026/04/03 12:15:23.503, 14 %, 0 %, 12983 MiB, 85, 125.85 W
2026/04/03 12:15:28.503, 0 %, 0 %, 12983 MiB, 86, 133.63 W
2026/04/03 12:15:33.504, 100 %, 100 %, 12983 MiB, 86, 188.17 W
2026/04/03 12:15:38.504, 100 %, 100 %, 12983 MiB, 86, 182.27 W
2026/04/03 12:15:43.505, 100 %, 100 %, 12983 MiB, 86, 178.15 W
2026/04/03 12:15:48.643, 25 %, 1 %, 12983 MiB, 85, 116.81 W
2026/04/03 12:15:53.644, 16 %, 17 %, 12983 MiB, 84, 125.25 W
2026/04/03 12:15:58.644, 100 %, 100 %, 12983 MiB, 86, 188.74 W
2026/04/03 12:16:03.645, 100 %, 100 %, 12983 MiB, 86, 184.05 W
2026/04/03 12:16:08.645, 100 %, 100 %, 12983 MiB, 86, 180.17 W
2026/04/03 12:16:13.646, 100 %, 100 %, 12983 MiB, 85, 151.90 W
2026/04/03 12:16:18.647, 11 %, 1 %, 12983 MiB, 84, 126.05 W
2026/04/03 12:16:23.737, 100 %, 100 %, 12983 MiB, 86, 195.54 W
2026/04/03 12:16:28.946, 100 %, 100 %, 12983 MiB, 86, 185.47 W
2026/04/03 12:16:34.156, 100 %, 100 %, 12983 MiB, 86, 179.36 W
2026/04/03 12:16:39.380, 9 %, 0 %, 12983 MiB, 84, 114.96 W
2026/04/03 12:16:44.380, 10 %, 1 %, 12983 MiB, 83, 108.43 W
2026/04/03 12:16:49.381, 100 %, 100 %, 12983 MiB, 86, 198.83 W
2026/04/03 12:16:54.381, 100 %, 100 %, 12983 MiB, 86, 191.59 W
2026/04/03 12:16:59.382, 100 %, 100 %, 12983 MiB, 86, 183.67 W
2026/04/03 12:17:04.382, 100 %, 100 %, 12983 MiB, 86, 178.18 W
2026/04/03 12:17:09.383, 10 %, 1 %, 12983 MiB, 83, 107.63 W
2026/04/03 12:17:14.499, 100 %, 100 %, 12983 MiB, 86, 199.27 W
2026/04/03 12:17:19.500, 100 %, 100 %, 12983 MiB, 86, 192.10 W
2026/04/03 12:17:24.509, 100 %, 100 %, 12983 MiB, 86, 186.01 W
2026/04/03 12:17:29.674, 100 %, 100 %, 12983 MiB, 86, 180.25 W
2026/04/03 12:17:34.966, 11 %, 1 %, 12983 MiB, 84, 119.03 W
2026/04/03 12:17:39.967, 100 %, 100 %, 12983 MiB, 85, 198.98 W
2026/04/03 12:17:44.968, 100 %, 100 %, 12983 MiB, 86, 193.30 W
2026/04/03 12:17:49.968, 100 %, 100 %, 12983 MiB, 86, 186.03 W
2026/04/03 12:17:54.969, 100 %, 100 %, 12983 MiB, 86, 181.06 W
2026/04/03 12:17:59.969, 11 %, 1 %, 12983 MiB, 83, 107.29 W
2026/04/03 12:18:04.970, 100 %, 100 %, 12983 MiB, 85, 141.06 W
2026/04/03 12:18:10.139, 100 %, 100 %, 12983 MiB, 86, 194.56 W
2026/04/03 12:18:15.392, 100 %, 100 %, 12983 MiB, 86, 185.09 W
2026/04/03 12:18:20.572, 100 %, 100 %, 12983 MiB, 86, 179.96 W
2026/04/03 12:18:25.762, 11 %, 1 %, 12983 MiB, 84, 108.75 W
2026/04/03 12:18:30.763, 18 %, 21 %, 12983 MiB, 85, 132.94 W
2026/04/03 12:18:36.094, 100 %, 100 %, 12983 MiB, 86, 194.79 W
2026/04/03 12:18:41.265, 100 %, 100 %, 12983 MiB, 86, 186.56 W
2026/04/03 12:18:46.427, 100 %, 100 %, 12983 MiB, 86, 180.88 W
2026/04/03 12:18:51.564, 9 %, 1 %, 12983 MiB, 84, 117.82 W
2026/04/03 12:18:56.564, 30 %, 34 %, 12983 MiB, 85, 130.55 W
2026/04/03 12:19:01.565, 100 %, 100 %, 12983 MiB, 86, 192.87 W
2026/04/03 12:19:06.566, 100 %, 100 %, 12983 MiB, 86, 185.53 W
2026/04/03 12:19:11.566, 0 %, 0 %, 12983 MiB, 84, 142.98 W
2026/04/03 12:19:16.567, 18 %, 18 %, 12983 MiB, 82, 103.00 W
2026/04/03 12:19:21.567, 11 %, 1 %, 12983 MiB, 83, 130.77 W
2026/04/03 12:19:26.568, 21 %, 1 %, 12983 MiB, 82, 123.27 W
2026/04/03 12:19:31.569, 10 %, 1 %, 12983 MiB, 81, 128.10 W
2026/04/03 12:19:36.569, 100 %, 100 %, 12983 MiB, 84, 198.67 W
2026/04/03 12:19:41.570, 100 %, 100 %, 12983 MiB, 85, 190.34 W
2026/04/03 12:19:46.570, 100 %, 100 %, 12983 MiB, 85, 187.76 W
2026/04/03 12:19:51.571, 58 %, 65 %, 12983 MiB, 85, 178.22 W
2026/04/03 12:19:56.572, 100 %, 100 %, 12983 MiB, 83, 113.95 W
2026/04/03 12:20:01.572, 100 %, 100 %, 12983 MiB, 86, 195.03 W
2026/04/03 12:20:06.573, 100 %, 100 %, 12983 MiB, 86, 187.38 W
2026/04/03 12:20:11.573, 100 %, 100 %, 12983 MiB, 86, 181.05 W
2026/04/03 12:20:16.574, 32 %, 1 %, 12983 MiB, 84, 115.19 W
2026/04/03 12:20:21.574, 100 %, 100 %, 12983 MiB, 86, 190.62 W
2026/04/03 12:20:26.575, 100 %, 100 %, 12983 MiB, 86, 190.66 W
2026/04/03 12:20:31.576, 100 %, 100 %, 12983 MiB, 86, 182.21 W
2026/04/03 12:20:36.576, 100 %, 100 %, 12983 MiB, 86, 176.12 W
2026/04/03 12:20:41.577, 16 %, 2 %, 12983 MiB, 85, 125.04 W
2026/04/03 12:20:46.578, 100 %, 100 %, 12983 MiB, 86, 191.65 W
2026/04/03 12:20:51.578, 100 %, 100 %, 12983 MiB, 86, 183.72 W
2026/04/03 12:20:56.579, 100 %, 100 %, 12983 MiB, 86, 179.26 W
2026/04/03 12:21:01.579, 100 %, 100 %, 12983 MiB, 86, 175.31 W
2026/04/03 12:21:06.580, 16 %, 2 %, 12983 MiB, 84, 115.27 W
2026/04/03 12:21:11.581, 100 %, 100 %, 12983 MiB, 86, 194.20 W
2026/04/03 12:21:16.581, 100 %, 100 %, 12983 MiB, 87, 185.22 W
2026/04/03 12:21:21.582, 100 %, 100 %, 12983 MiB, 86, 180.14 W
2026/04/03 12:21:26.582, 100 %, 100 %, 12983 MiB, 86, 175.52 W
2026/04/03 12:21:31.583, 16 %, 2 %, 12983 MiB, 84, 125.32 W
2026/04/03 12:21:36.584, 100 %, 100 %, 12983 MiB, 86, 189.52 W
2026/04/03 12:21:41.584, 100 %, 100 %, 12983 MiB, 86, 183.43 W
2026/04/03 12:21:46.585, 100 %, 100 %, 12983 MiB, 86, 179.33 W
2026/04/03 12:21:51.586, 40 %, 44 %, 12983 MiB, 86, 172.89 W
2026/04/03 12:21:56.586, 0 %, 0 %, 12983 MiB, 84, 129.68 W
2026/04/03 12:22:01.587, 100 %, 100 %, 12983 MiB, 86, 189.64 W
2026/04/03 12:22:06.587, 100 %, 100 %, 12983 MiB, 86, 183.53 W
2026/04/03 12:22:11.588, 100 %, 100 %, 12983 MiB, 86, 178.74 W
2026/04/03 12:22:16.589, 13 %, 2 %, 12983 MiB, 84, 117.06 W
2026/04/03 12:22:21.589, 85 %, 95 %, 12983 MiB, 86, 152.34 W
2026/04/03 12:22:26.885, 100 %, 100 %, 12983 MiB, 86, 188.70 W
2026/04/03 12:22:32.096, 100 %, 100 %, 12983 MiB, 86, 183.47 W
2026/04/03 12:22:37.310, 100 %, 100 %, 12983 MiB, 86, 178.67 W
2026/04/03 12:22:42.481, 17 %, 2 %, 12983 MiB, 83, 105.54 W
2026/04/03 12:22:47.482, 100 %, 100 %, 12983 MiB, 86, 199.23 W
2026/04/03 12:22:52.483, 100 %, 100 %, 12983 MiB, 86, 189.18 W
2026/04/03 12:22:57.483, 100 %, 100 %, 12983 MiB, 86, 184.13 W
2026/04/03 12:23:02.484, 100 %, 100 %, 12983 MiB, 86, 178.92 W
2026/04/03 12:23:07.486, 16 %, 2 %, 12983 MiB, 84, 127.72 W
2026/04/03 12:23:12.487, 100 %, 100 %, 12983 MiB, 86, 194.10 W
2026/04/03 12:23:17.488, 100 %, 100 %, 12983 MiB, 86, 186.52 W
2026/04/03 12:23:22.488, 100 %, 100 %, 12983 MiB, 86, 182.54 W
2026/04/03 12:23:27.489, 100 %, 100 %, 12983 MiB, 86, 177.70 W
2026/04/03 12:23:32.489, 16 %, 2 %, 12983 MiB, 85, 125.79 W
2026/04/03 12:23:37.490, 100 %, 100 %, 12983 MiB, 86, 197.17 W
2026/04/03 12:23:42.518, 100 %, 100 %, 12983 MiB, 86, 188.30 W
2026/04/03 12:23:47.735, 100 %, 100 %, 12983 MiB, 86, 182.71 W
2026/04/03 12:23:52.894, 100 %, 100 %, 12983 MiB, 86, 177.60 W
2026/04/03 12:23:57.989, 18 %, 2 %, 12983 MiB, 83, 105.83 W
2026/04/03 12:24:02.990, 100 %, 100 %, 12983 MiB, 86, 192.03 W
2026/04/03 12:24:07.990, 100 %, 100 %, 12983 MiB, 86, 185.30 W
2026/04/03 12:24:12.991, 100 %, 100 %, 12983 MiB, 86, 181.30 W
2026/04/03 12:24:18.215, 0 %, 0 %, 12983 MiB, 84, 115.59 W
2026/04/03 12:24:23.216, 14 %, 2 %, 12983 MiB, 85, 131.04 W
2026/04/03 12:24:28.216, 100 %, 100 %, 12983 MiB, 86, 197.32 W
2026/04/03 12:24:33.217, 100 %, 100 %, 12983 MiB, 86, 189.14 W
2026/04/03 12:24:38.217, 100 %, 100 %, 12983 MiB, 86, 181.85 W
2026/04/03 12:24:43.218, 6 %, 0 %, 12983 MiB, 85, 148.24 W
2026/04/03 12:24:48.218, 100 %, 100 %, 12983 MiB, 86, 154.19 W
2026/04/03 12:24:53.219, 100 %, 100 %, 12983 MiB, 86, 189.96 W
2026/04/03 12:24:58.220, 100 %, 100 %, 12983 MiB, 86, 183.42 W
2026/04/03 12:25:03.220, 6 %, 0 %, 12983 MiB, 84, 115.92 W
2026/04/03 12:25:08.221, 14 %, 0 %, 12983 MiB, 84, 133.95 W
2026/04/03 12:25:13.221, 0 %, 0 %, 12983 MiB, 83, 123.19 W
2026/04/03 12:25:18.222, 15 %, 2 %, 12983 MiB, 83, 133.06 W
2026/04/03 12:25:23.223, 100 %, 100 %, 12983 MiB, 85, 197.04 W
2026/04/03 12:25:28.328, 100 %, 100 %, 12983 MiB, 85, 193.26 W
2026/04/03 12:25:33.486, 100 %, 100 %, 12983 MiB, 86, 188.88 W
2026/04/03 12:25:38.609, 18 %, 0 %, 12983 MiB, 85, 130.30 W
2026/04/03 12:25:43.610, 100 %, 100 %, 12983 MiB, 85, 167.51 W
2026/04/03 12:25:48.611, 100 %, 100 %, 12983 MiB, 86, 196.04 W
2026/04/03 12:25:53.611, 100 %, 100 %, 12983 MiB, 86, 188.00 W
2026/04/03 12:25:58.612, 100 %, 100 %, 12983 MiB, 86, 182.57 W
2026/04/03 12:26:03.612, 29 %, 1 %, 12983 MiB, 84, 118.68 W
2026/04/03 12:26:08.613, 100 %, 100 %, 12983 MiB, 86, 198.40 W
2026/04/03 12:26:13.614, 100 %, 100 %, 12983 MiB, 86, 188.35 W
2026/04/03 12:26:18.615, 100 %, 100 %, 12983 MiB, 86, 183.45 W
2026/04/03 12:26:23.616, 100 %, 100 %, 12983 MiB, 86, 177.96 W
2026/04/03 12:26:28.616, 17 %, 2 %, 12983 MiB, 84, 121.68 W
2026/04/03 12:26:33.617, 100 %, 100 %, 12983 MiB, 86, 198.91 W
2026/04/03 12:26:38.841, 100 %, 100 %, 12983 MiB, 86, 187.97 W
2026/04/03 12:26:44.065, 100 %, 100 %, 12983 MiB, 86, 182.10 W
2026/04/03 12:26:49.347, 100 %, 100 %, 12983 MiB, 86, 177.60 W
2026/04/03 12:26:54.526, 16 %, 2 %, 12983 MiB, 83, 103.27 W
2026/04/03 12:26:59.527, 100 %, 100 %, 12983 MiB, 86, 198.70 W
2026/04/03 12:27:04.528, 100 %, 100 %, 12983 MiB, 86, 187.10 W
2026/04/03 12:27:09.528, 100 %, 100 %, 12983 MiB, 86, 182.76 W
2026/04/03 12:27:14.529, 100 %, 100 %, 12983 MiB, 86, 176.87 W
2026/04/03 12:27:19.530, 17 %, 2 %, 12983 MiB, 83, 105.46 W
2026/04/03 12:27:24.530, 100 %, 100 %, 12983 MiB, 86, 194.06 W
2026/04/03 12:27:29.531, 100 %, 100 %, 12983 MiB, 86, 185.90 W
2026/04/03 12:27:34.531, 100 %, 100 %, 12983 MiB, 86, 181.21 W
2026/04/03 12:27:39.532, 0 %, 0 %, 12983 MiB, 85, 154.43 W
2026/04/03 12:27:44.533, 7 %, 9 %, 12983 MiB, 84, 120.30 W
2026/04/03 12:27:49.533, 100 %, 100 %, 12983 MiB, 86, 192.20 W
2026/04/03 12:27:54.534, 100 %, 100 %, 12983 MiB, 86, 184.90 W
2026/04/03 12:27:59.534, 100 %, 100 %, 12983 MiB, 86, 180.33 W
2026/04/03 12:28:04.535, 29 %, 1 %, 12983 MiB, 85, 137.99 W
2026/04/03 12:28:09.535, 100 %, 100 %, 12983 MiB, 86, 171.55 W
2026/04/03 12:28:14.536, 100 %, 100 %, 12983 MiB, 86, 188.25 W
2026/04/03 12:28:19.537, 100 %, 100 %, 12983 MiB, 86, 183.08 W
2026/04/03 12:28:24.537, 100 %, 100 %, 12983 MiB, 86, 179.01 W
2026/04/03 12:28:29.538, 20 %, 1 %, 12983 MiB, 84, 114.31 W
2026/04/03 12:28:34.539, 100 %, 100 %, 12983 MiB, 85, 167.82 W
2026/04/03 12:28:39.739, 100 %, 100 %, 12983 MiB, 86, 192.39 W
2026/04/03 12:28:44.969, 100 %, 100 %, 12983 MiB, 86, 185.79 W
2026/04/03 12:28:50.197, 100 %, 100 %, 12983 MiB, 86, 179.69 W
2026/04/03 12:28:55.387, 17 %, 2 %, 12983 MiB, 84, 125.37 W
2026/04/03 12:29:00.388, 100 %, 100 %, 12983 MiB, 86, 194.48 W
2026/04/03 12:29:05.388, 100 %, 100 %, 12983 MiB, 86, 185.13 W
2026/04/03 12:29:10.389, 100 %, 100 %, 12983 MiB, 86, 181.25 W
2026/04/03 12:29:15.389, 100 %, 100 %, 12983 MiB, 86, 176.94 W
2026/04/03 12:29:20.390, 17 %, 2 %, 12983 MiB, 83, 104.81 W
2026/04/03 12:29:25.391, 100 %, 100 %, 12983 MiB, 86, 199.10 W
2026/04/03 12:29:30.391, 100 %, 100 %, 12983 MiB, 86, 189.48 W
2026/04/03 12:29:35.392, 100 %, 100 %, 12983 MiB, 86, 184.07 W
2026/04/03 12:29:40.392, 100 %, 100 %, 12983 MiB, 86, 177.20 W
2026/04/03 12:29:45.393, 11 %, 1 %, 12983 MiB, 84, 130.08 W
2026/04/03 12:29:50.394, 100 %, 100 %, 12983 MiB, 86, 193.50 W
2026/04/03 12:29:55.750, 100 %, 100 %, 12983 MiB, 86, 186.26 W
2026/04/03 12:30:00.971, 100 %, 100 %, 12983 MiB, 86, 180.87 W
2026/04/03 12:30:06.150, 36 %, 1 %, 12983 MiB, 84, 115.13 W
2026/04/03 12:30:11.151, 100 %, 100 %, 12983 MiB, 86, 147.99 W
2026/04/03 12:30:16.151, 100 %, 100 %, 12983 MiB, 86, 189.59 W
2026/04/03 12:30:21.152, 100 %, 100 %, 12983 MiB, 86, 184.56 W
2026/04/03 12:30:26.153, 100 %, 100 %, 12983 MiB, 86, 178.35 W
2026/04/03 12:30:31.153, 14 %, 1 %, 12983 MiB, 84, 118.33 W
2026/04/03 12:30:36.154, 100 %, 100 %, 12983 MiB, 86, 166.18 W
2026/04/03 12:30:41.155, 100 %, 100 %, 12983 MiB, 86, 190.74 W
2026/04/03 12:30:46.155, 100 %, 100 %, 12983 MiB, 86, 182.71 W
2026/04/03 12:30:51.156, 15 %, 0 %, 12983 MiB, 84, 115.64 W
2026/04/03 12:30:56.156, 19 %, 1 %, 12983 MiB, 84, 120.73 W
2026/04/03 12:31:01.157, 2 %, 0 %, 12983 MiB, 82, 113.66 W
2026/04/03 12:31:06.158, 100 %, 100 %, 12983 MiB, 84, 197.52 W
2026/04/03 12:31:11.158, 100 %, 100 %, 12983 MiB, 85, 194.99 W
2026/04/03 12:31:16.254, 100 %, 100 %, 12983 MiB, 86, 190.07 W
2026/04/03 12:31:21.418, 100 %, 100 %, 12983 MiB, 86, 185.43 W
2026/04/03 12:31:26.569, 16 %, 2 %, 12983 MiB, 84, 131.09 W
2026/04/03 12:31:31.570, 100 %, 100 %, 12983 MiB, 86, 196.99 W
2026/04/03 12:31:36.571, 100 %, 100 %, 12983 MiB, 86, 186.51 W
2026/04/03 12:31:41.571, 100 %, 100 %, 12983 MiB, 86, 182.49 W
2026/04/03 12:31:46.786, 100 %, 100 %, 12983 MiB, 86, 174.81 W
2026/04/03 12:31:51.789, 15 %, 2 %, 12983 MiB, 83, 126.18 W
2026/04/03 12:31:56.789, 100 %, 100 %, 12983 MiB, 86, 194.21 W
2026/04/03 12:32:01.790, 100 %, 100 %, 12983 MiB, 86, 185.93 W
2026/04/03 12:32:06.791, 100 %, 100 %, 12983 MiB, 86, 181.79 W
2026/04/03 12:32:11.917, 2 %, 0 %, 12983 MiB, 85, 155.98 W
2026/04/03 12:32:16.917, 100 %, 100 %, 12983 MiB, 86, 136.39 W
2026/04/03 12:32:21.918, 100 %, 100 %, 12983 MiB, 87, 191.01 W
2026/04/03 12:32:26.918, 100 %, 100 %, 12983 MiB, 86, 183.87 W
2026/04/03 12:32:31.919, 100 %, 100 %, 12983 MiB, 86, 179.92 W
2026/04/03 12:32:36.919, 8 %, 0 %, 12983 MiB, 84, 116.92 W
2026/04/03 12:32:41.920, 30 %, 34 %, 12983 MiB, 86, 164.17 W
2026/04/03 12:32:46.921, 100 %, 100 %, 12983 MiB, 86, 189.77 W
2026/04/03 12:32:51.921, 100 %, 100 %, 12983 MiB, 86, 184.36 W
2026/04/03 12:32:56.922, 100 %, 100 %, 12983 MiB, 86, 178.84 W
2026/04/03 12:33:01.922, 16 %, 2 %, 12983 MiB, 84, 117.42 W
2026/04/03 12:33:06.923, 100 %, 100 %, 12983 MiB, 86, 197.13 W
2026/04/03 12:33:11.925, 100 %, 100 %, 12983 MiB, 86, 187.19 W
2026/04/03 12:33:16.925, 100 %, 100 %, 12983 MiB, 86, 182.05 W
2026/04/03 12:33:21.926, 100 %, 100 %, 12983 MiB, 86, 178.38 W
2026/04/03 12:33:26.926, 17 %, 2 %, 12983 MiB, 84, 108.56 W
2026/04/03 12:33:31.927, 100 %, 100 %, 12983 MiB, 86, 197.18 W
2026/04/03 12:33:37.334, 100 %, 100 %, 12983 MiB, 86, 187.18 W
2026/04/03 12:33:42.609, 100 %, 100 %, 12983 MiB, 86, 182.26 W
2026/04/03 12:33:47.801, 100 %, 100 %, 12983 MiB, 86, 177.89 W
2026/04/03 12:33:52.970, 16 %, 2 %, 12983 MiB, 84, 126.49 W
2026/04/03 12:33:57.970, 100 %, 100 %, 12983 MiB, 86, 191.34 W
2026/04/03 12:34:02.971, 100 %, 100 %, 12983 MiB, 86, 184.58 W
2026/04/03 12:34:07.972, 100 %, 100 %, 12983 MiB, 86, 180.55 W
2026/04/03 12:34:12.973, 0 %, 0 %, 12983 MiB, 85, 147.74 W
2026/04/03 12:34:17.974, 38 %, 43 %, 12983 MiB, 84, 112.65 W
2026/04/03 12:34:22.974, 100 %, 100 %, 12983 MiB, 86, 191.89 W
2026/04/03 12:34:27.975, 100 %, 100 %, 12983 MiB, 86, 185.90 W
2026/04/03 12:34:32.975, 100 %, 100 %, 12983 MiB, 86, 180.62 W
2026/04/03 12:34:37.976, 30 %, 1 %, 12983 MiB, 84, 115.86 W
2026/04/03 12:34:42.977, 100 %, 100 %, 12983 MiB, 86, 167.02 W
2026/04/03 12:34:48.377, 100 %, 100 %, 12983 MiB, 86, 187.23 W
2026/04/03 12:34:53.521, 100 %, 100 %, 12983 MiB, 86, 183.46 W
2026/04/03 12:34:58.851, 100 %, 100 %, 12983 MiB, 86, 179.03 W
2026/04/03 12:35:04.074, 16 %, 2 %, 12983 MiB, 84, 125.94 W
2026/04/03 12:35:09.075, 100 %, 100 %, 12983 MiB, 86, 198.80 W
2026/04/03 12:35:14.076, 100 %, 100 %, 12983 MiB, 86, 187.93 W
2026/04/03 12:35:19.076, 100 %, 100 %, 12983 MiB, 86, 183.10 W
2026/04/03 12:35:24.077, 100 %, 100 %, 12983 MiB, 86, 178.83 W
2026/04/03 12:35:29.078, 18 %, 2 %, 12983 MiB, 83, 105.89 W
2026/04/03 12:35:34.078, 100 %, 100 %, 12983 MiB, 86, 199.05 W
2026/04/03 12:35:39.079, 100 %, 100 %, 12983 MiB, 86, 189.71 W
2026/04/03 12:35:44.079, 100 %, 100 %, 12983 MiB, 86, 183.38 W
2026/04/03 12:35:49.080, 100 %, 100 %, 12983 MiB, 86, 177.58 W
2026/04/03 12:35:54.081, 17 %, 2 %, 12983 MiB, 83, 119.55 W
2026/04/03 12:35:59.113, 100 %, 100 %, 12983 MiB, 86, 195.47 W
2026/04/03 12:36:04.113, 100 %, 100 %, 12983 MiB, 86, 187.34 W
2026/04/03 12:36:09.114, 100 %, 100 %, 12983 MiB, 86, 182.95 W
2026/04/03 12:36:14.239, 100 %, 100 %, 12983 MiB, 86, 178.48 W
2026/04/03 12:36:19.376, 16 %, 13 %, 12983 MiB, 84, 114.11 W
2026/04/03 12:36:24.377, 100 %, 100 %, 12983 MiB, 86, 191.78 W
2026/04/03 12:36:29.377, 100 %, 100 %, 12983 MiB, 86, 183.35 W
2026/04/03 12:36:34.378, 100 %, 100 %, 12983 MiB, 85, 165.84 W
2026/04/03 12:36:39.378, 14 %, 0 %, 12983 MiB, 84, 124.23 W
2026/04/03 12:36:44.379, 0 %, 0 %, 12983 MiB, 84, 126.30 W
2026/04/03 12:36:49.380, 17 %, 2 %, 12983 MiB, 84, 150.45 W
2026/04/03 12:36:54.380, 100 %, 100 %, 12983 MiB, 85, 196.29 W
2026/04/03 12:36:59.381, 100 %, 100 %, 12983 MiB, 86, 192.31 W
2026/04/03 12:37:04.381, 100 %, 100 %, 12983 MiB, 86, 185.80 W
2026/04/03 12:37:09.382, 16 %, 2 %, 12983 MiB, 85, 119.79 W
2026/04/03 12:37:14.383, 100 %, 100 %, 12983 MiB, 86, 199.55 W
2026/04/03 12:37:19.383, 100 %, 100 %, 12983 MiB, 86, 188.87 W
2026/04/03 12:37:24.384, 100 %, 100 %, 12983 MiB, 86, 184.15 W
2026/04/03 12:37:29.384, 100 %, 100 %, 12983 MiB, 86, 179.88 W
2026/04/03 12:37:34.385, 17 %, 2 %, 12983 MiB, 83, 108.37 W
2026/04/03 12:37:39.386, 100 %, 100 %, 12983 MiB, 86, 199.15 W
2026/04/03 12:37:44.386, 100 %, 100 %, 12983 MiB, 86, 190.78 W
2026/04/03 12:37:49.387, 100 %, 100 %, 12983 MiB, 86, 182.42 W
2026/04/03 12:37:54.387, 100 %, 100 %, 12983 MiB, 86, 177.66 W
2026/04/03 12:37:59.388, 17 %, 2 %, 12983 MiB, 83, 103.69 W
2026/04/03 12:38:04.389, 100 %, 100 %, 12983 MiB, 86, 197.22 W
2026/04/03 12:38:09.389, 100 %, 100 %, 12983 MiB, 86, 187.15 W
2026/04/03 12:38:14.390, 100 %, 100 %, 12983 MiB, 86, 183.00 W
2026/04/03 12:38:19.390, 100 %, 100 %, 12983 MiB, 86, 178.85 W
2026/04/03 12:38:24.425, 16 %, 2 %, 12983 MiB, 84, 128.33 W
2026/04/03 12:38:29.426, 100 %, 100 %, 12983 MiB, 86, 193.65 W
2026/04/03 12:38:34.426, 100 %, 100 %, 12983 MiB, 86, 185.65 W
2026/04/03 12:38:39.427, 100 %, 100 %, 12983 MiB, 86, 180.48 W
2026/04/03 12:38:44.428, 100 %, 100 %, 12983 MiB, 87, 176.12 W
2026/04/03 12:38:49.428, 16 %, 2 %, 12983 MiB, 84, 126.85 W
2026/04/03 12:38:54.429, 100 %, 100 %, 12983 MiB, 86, 193.12 W
2026/04/03 12:38:59.429, 100 %, 100 %, 12983 MiB, 86, 183.86 W
2026/04/03 12:39:04.430, 100 %, 100 %, 12983 MiB, 86, 181.28 W
2026/04/03 12:39:09.431, 0 %, 0 %, 12983 MiB, 85, 146.99 W
2026/04/03 12:39:14.431, 0 %, 0 %, 12983 MiB, 84, 129.71 W
2026/04/03 12:39:19.432, 100 %, 100 %, 12983 MiB, 86, 193.59 W
2026/04/03 12:39:24.536, 100 %, 100 %, 12983 MiB, 86, 184.66 W
2026/04/03 12:39:29.820, 100 %, 100 %, 12983 MiB, 86, 179.42 W
2026/04/03 12:39:34.948, 13 %, 2 %, 12983 MiB, 84, 117.49 W
2026/04/03 12:39:39.948, 100 %, 100 %, 12983 MiB, 85, 160.83 W
2026/04/03 12:39:44.949, 100 %, 100 %, 12983 MiB, 86, 191.81 W
2026/04/03 12:39:49.949, 100 %, 100 %, 12983 MiB, 86, 184.29 W
2026/04/03 12:39:54.950, 100 %, 100 %, 12983 MiB, 86, 181.35 W
2026/04/03 12:40:00.053, 13 %, 2 %, 12983 MiB, 85, 124.81 W
2026/04/03 12:40:05.053, 100 %, 100 %, 12983 MiB, 86, 199.57 W
2026/04/03 12:40:10.054, 100 %, 100 %, 12983 MiB, 86, 190.84 W
2026/04/03 12:40:15.054, 100 %, 100 %, 12983 MiB, 86, 184.87 W
2026/04/03 12:40:20.055, 100 %, 100 %, 12983 MiB, 86, 181.06 W
